a b c content serial
150 0.81181 0.02365 0.18466 3 159
151 0.52688 0.29777 0.1472 1 144
152 0.72184 0.28359 0.08711 1 143
153 0.51767 0.23125 0.21801 1 142
154 1.01793 0.19273 0.34486 1 141
155 1.31899 0.70483 0.11459 2 152
156 1.20655 0.70357 0.5 2 151
157 1.269 0.6906 0.09007 2 150
158 0.93253 0.68271 0.14128 2 149
159 1.20666 -0.03132 0.16188 3 158
160 0.75207 -0.03358 0.14237 3 157
161 0.94186 0.16016 0.14885 1 128
162 0.99128 0.15425 0.12452 1 127
163 0.8525 0.11091 0.08883 1 126
164 0.89984 0.10393 0.13245 1 125
165 1.05444 0.60125 0.16527 2 136
166 1.08761 0.56218 0.27451 2 135
167 0.90976 0.55405 0.27422 2 134
168 0.94247 0.52405 0.19019 2 133
169 0.66322 -0.04312 0.14751 3 140
170 1.0015 -0.06586 0.28001 3 139
171 1.04105 0.08671 0.16097 1 124
172 1.12392 0.08478 0.09302 1 123
173 0.8646 0.07006 0.20903 1 122
174 1.41811 0.06245 0.14843 1 121
175 0.82096 0.51316 0.13109 2 132
176 0.69642 0.50846 0.0993 2 131
177 1.46518 0.49739 0.16306 2 130
178 1.38875 0.47849 0.11522 2 129
179 0.85197 -0.26127 0.15188 3 138
180 0.71958 -0.34696 0.06723 3 137
181 0.62533 0.01329 0.5 1 108
182 0.72185 0.00125 0.09602 1 107
183 0.9491 -0.01374 0.06349 1 106
184 0.89732 -0.03003 0.21412 1 105
185 0.61269 0.44052 0.10758 2 116
186 1.11062 0.37674 0.20046 2 115
187 1.07636 0.37194 0.02523 2 114
188 0.74105 0.36816 0.1887 2 113
189 0.97426 -0.40939 0.05283 3 120
190 0.66978 -0.42208 0.15858 3 119
191 0.91703 -0.03528 0.17517 1 104
192 0.93621 -0.05029 0.14846 1 103
193 0.50461 -0.06314 0.10643 1 102
194 0.83206 -0.07859 0.17202 1 101
195 0.66667 0.35117 0.25579 2 112
196 0.89208 0.32987 0.14618 2 111
197 1.32618 0.31777 0.08593 2 110
198 0.65367 0.30637 0.5 2 109
199 1.07807 -0.44051 0.15996 3 118
200 1.35127 -0.47087 0.09622 3 117
201 1.00126 -0.10199 0.40648 1 88
202 0.86811 -0.12321 0.18031 1 87
203 0.76931 -0.19069 0.24636 1 86
204 1.091 -0.19352 0.17694 1 85
205 0.95411 0.2691 0.34229 2 96
206 0.74188 0.23092 0.08413 2 95
207 0.95026 0.22868 0.15552 2 94
208 1.13838 0.20749 0.17817 2 93
209 1.05442 -0.50597 0.08432 3 100
210 0.63901 -0.53989 0.19376 3 99
211 0.62832 -0.21445 0.2227 1 84
212 0.6802 -0.24366 0.18296 1 83
213 0.60717 -0.29228 0.18623 1 82
214 0.81498 -0.31511 0.15461 1 81
215 1.17228 0.13248 0.18882 2 92
216 1.19155 0.11524 0.25589 2 91
217 1.0046 0.1092 0.08802 2 90
218 1.21852 0.10318 0.05654 2 89
219 0.8442 -0.5534 0.27218 3 98
220 1.04963 -0.60418 0.09479 3 97
221 0.74871 -0.3736 0.19772 1 68
222 0.79089 -0.37825 0.28961 1 67
223 0.96256 -0.44516 0.12454 1 66
224 1.07983 -0.46626 0.17154 1 65
225 1.10579 0.07243 0.16636 2 76
226 0.75679 0.06256 0.13823 2 75
227 0.72659 -0.0159 0.30398 2 74
228 1.07956 -0.03388 0.33509 2 73
229 0.65346 -0.62802 0.17127 3 80
230 0.85969 -0.68603 0.08217 3 79
231 1.02068 -0.49628 0.25138 1 64
232 0.90327 -0.54208 0.14408 1 63
233 0.73199 -0.59644 0.11454 1 62
234 0.85165 -0.60429 0.33388 1 61
235 0.60727 -0.07633 0.28479 2 72
236 0.85096 -0.09029 0.26784 2 71
237 0.8034 -0.09937 0.0924 2 70
238 1.23326 -0.10127 0.10312 2 69
239 1.08948 -0.71943 0.17009 3 78
240 0.7632 -0.82894 0.19896 3 77
241 0.46165 -0.68048 0.21056 1 48
242 0.78424 -0.69231 0.26217 1 47
243 0.57169 -0.73814 0.22675 1 46
244 0.83992 -0.74371 0.11924 1 45
245 1.17793 -0.1527 0.5 2 56
246 0.75222 -0.16255 0.27858 2 55
247 1.30463 -0.16596 0.15073 2 54
248 0.73571 -0.17581 0.06579 2 53
249 0.44338 -0.94449 0.09175 3 60
250 0.59006 -1.02769 0.10096 3 59
251 0.66529 -0.88196 0.1816 1 44
252 0.94676 -0.93393 0.06713 1 43
253 0.87388 -0.99558 0.22001 1 42
254 0.37867 -1.04841 0.20456 1 41
255 1.07235 -0.18562 0.08196 2 52
256 0.93593 -0.20202 0.17977 2 51
257 0.47284 -0.21862 0.28663 2 50
258 1.09781 -0.25021 0.052 2 49
259 0.91004 -1.12367 0.13877 3 58
260 0.91251 -1.19655 0.08727 3 57
261 0.51599 -1.23995 0.28683 1 28
262 0.73863 -1.25067 0.10454 1 27
263 0.51357 -1.48062 0.17331 1 26
264 0.34901 -1.56045 0.20501 1 25
265 0.70538 -0.29667 0.11547 2 36
266 0.76685 -0.3716 0.202 2 35
267 1.49252 -0.52602 0.19399 2 34
268 1.15438 -0.67169 0.34593 2 33
269 0.95676 -1.20698 0.11154 3 40
270 0.6157 -1.24491 0.09633 3 39
271 1.01832 -1.70256 0.32517 1 24
272 0.78774 -1.73743 0.17432 1 23
273 0.48935 -1.78184 0.18681 1 22
274 0.5117 -1.81496 0.16376 1 21
275 1.17266 -0.76548 0.16692 2 32
276 0.80136 -0.76802 0.34693 2 31
277 0.94372 -0.77609 0.35953 2 30
278 1.21828 -0.8066 0.21113 2 29
279 0.59685 -1.26581 0.23214 3 38
280 1.18722 -1.31787 0.13321 3 37
281 0.59362 -2.06476 0.16105 1 8
282 0.28227 -2.26857 0.26074 1 7
283 0.37622 -2.50664 0.2354 1 6
284 0.35074 -2.66541 0.2052 1 5
285 1.05559 -0.90949 0.5 2 16
286 0.47563 -0.94598 0.16654 2 15
287 0.69825 -0.98901 0.21158 2 14
288 0.76663 -1.06104 0.1238 2 13
289 1.1064 -1.3969 0.19598 3 20
290 1.01096 -1.42941 0.18369 3 19
291 0.46429 -2.74341 0.20093 1 4
292 0.36893 -2.93842 0.18308 1 3
293 0.36385 -3.33036 0.1767 1 2
294 0.28212 -3.4292 0.188 1 1
295 0.83806 -1.22873 0.13238 2 12
296 0.64116 -1.29142 0.14806 2 11
297 0.50991 -1.44914 0.14694 2 10
298 0.55474 -1.44975 0.34075 2 9
299 0.83657 -1.45579 0.1715 3 18
300 0.51477 -1.84796 0.13564 3 17
